
0 0  0.2492641734
1 0  0.4867542528
2 0  0.355070382
3 0  0.3677765323
4 0  0.3699462706
5 0  0.5321546257
6 0  0.3908972823
7 0  0.2913483196
8 0  0.2533171133
   
0 1  0.3201143107
1 1  0.3315773581
2 1  0.3206185953
3 1  0.4258084851
4 1  0.2937476957
5 1  0.3931512932
6 1  0.2162592167
7 1  0.3654035073
8 1  0.5619571638
   
0 2  0.2734169494
1 2  0.3904005572
2 2  0.2726788258
3 2  0.1334243865
4 2  0.3344198343
5 2  0.1777369233
6 2  0.5272539924
7 2  0.298623912
8 2  0.449269776
   
0 3  0.6340251979
1 3  0.2421216683
2 3  0.2783937176
3 3  0.3554879104
4 3  0.6550938097
5 3  0.3700212236
6 3  0.3240771234
7 3  0.285053341
8 3  0.1503468594
   
0 4  0.3263206212
1 4  0.5745063853
2 4  0.4953298984
3 4  0.4437840007
4 4  0.1426085193
5 4  0.4892599467
6 4  0.2633263025
7 4  0.410723453
8 4  0.1616825544
   
0 5  0.2339937704
1 5  0.2517045356
2 5  0.4474851039
3 5  0.3137592508
4 5  0.6384802008
5 5  0.3961397528
6 5  0.7591706149
7 5  0.3258811225
8 5  0.3564357771
   
0 6  0.3559772598
1 6  0.3618157827
2 6  0.2765255663
3 6  0.0975090147
4 6  0.4646644195
5 6  0.2170610517
6 6  0.4463301028
7 6  0.5280455586
8 6  0.3786323079
   
0 7  0.3148710646
1 7  0.3022158995
2 7  0.292854175
3 7  0.1934554584
4 7  0.7409845294
5 7  0.5222450643
6 7  0.4377420234
7 7  0.1881435414
8 7  0.4099286463
   
0 8  0.4349461626
1 8  0.3038992845
2 8  0.5159346419
3 8  0.3388231605
4 8  0.6060630604
5 8  0.5041396566
6 8  0.0426312347
7 8  0.3636875194
8 8  0.4694462404
   
0 9  0.4845943691
1 9  0.3018061388
2 9  0.6851080831
3 9  0.6527630727
4 9  0.2430495067
5 9  0.6092631414
6 9  0.5295567801
7 9  0.3866955513
8 9  0.3728260516
   
0 10  0.224493688
1 10  0.4805923779
2 10  0.5396833635
3 10  0.4971301793
4 10  0.1332113664
5 10  0.4089409278
6 10  0.3770330671
7 10  0.2780766903
8 10  0.2261530887
   
0 11  0.4667447417
1 11  0.5468349496
2 11  0.4075020854
3 11  0.1369117023
4 11  0.2609743744
5 11  0.1827307893
6 11  0.3899884629
7 11  0.3748109485
8 11  0.2833397645
   
0 12  0.4445756296
1 12  0.2566808776
2 12  0.7794013896
3 12  0.3382976836
4 12  0.2249202955
5 12  0.2044405364
6 12  0.3522427735
7 12  0.4100179032
8 12  0.355132762
   
0 13  0.1986469989
1 13  0.2681215436
2 13  0.2737783966
3 13  0.3234513416
4 13  0.328867779
5 13  0.2852740279
6 13  0.5444935414
7 13  0.2343265388
8 13  0.1877537244
   
0 14  0.1637279216
1 14  0.1102706023
2 14  0.1436677178
3 14  0.5302240449
4 14  0.1455489487
5 14  0.3301948572
6 14  0.6019952545
7 14  0.2362052786
8 14  0.2430709172
   
0 15  0.537215469
1 15  0.4353075214
2 15  0.2590163864
3 15  0.557168817
4 15  0.4098685584
5 15  0.4625812773
6 15  0.3597124249
7 15  0.2751155668
8 15  0.2447165057
   
0 16  0.4259171749
1 16  0.1133571819
2 16  0.0959613861
3 16  0.2777689335
4 16  0.6091863228
5 16  0.1705791088
6 16  0.289281967
7 16  0.3927307809
8 16  0.5682193765
   
0 17  0.3679481761
1 17  0.4246317042
2 17  0.666519648
3 17  0.3603475171
4 17  0.1591116096
5 17  0.4810197137
6 17  0.3227143434
7 17  0.5434070212
8 17  0.3948095656
   
0 18  0.284298642
1 18  0.5351517608
2 18  0.2154896549
3 18  0.3409200355
4 18  0.3514430042
5 18  0.5254126115
6 18  0.7489916442
7 18  0.4376074652
8 18  0.0856885582
   
0 19  0.3929138885
1 19  0.4690025568
2 19  0.4638002172
3 19  0.2704611688
4 19  0.3275376469
5 19  0.3779242817
6 19  0.3445931656
7 19  0.4047573601
8 19  0.4349479503
   
0 19  0.322748315
1 19  0.6474160901
2 19  0.403904573
3 19  0.1659383331
4 19  0.473208153
5 19  0.5409010371
6 19  0.2269569261
7 19  0.3202851534
8 19  0.2064991847
   
0 20  0.2999020972
1 20  0.5306066128
2 20  0.4594051448
3 20  0.3580169146
4 20  0.4235552473
5 20  0.1554032764
6 20  0.5308178295
7 20  0.2907815348
8 20  0.2433461372
   
0 21  0.5214729026
1 21  0.2733141746
2 21  0.26969524
3 21  0.4288477755
4 21  0.1036914062
5 21  0.2773128451
6 21  0.6525822134
7 21  0.3254366358
8 21  0.1522911466
   
0 22  0.1443277787
1 22  0.573650555
2 22  0.3634610256
3 22  0.2739087517
4 22  0.4955528059
5 22  0.4238592689
6 22  0.1136595381
7 22  0.3427845022
8 22  0.2348465337
   
0 22  0.4363064433
1 22  0.7070093474
2 22  0.3248389395
3 22  0.2279575554
4 22  0.5593192487
5 22  0.6223089095
6 22  0.4850635237
7 22  0.7151613741
8 22  0.6175315868
   
0 23  0.3698704691
1 23  0.6548075374
2 23  0.2959493095
3 23  0.3268126312
4 23  0.1569010215
5 23  0.405553101
6 23  0.2893013018
7 23  0.4009281851
8 23  0.2431857639
   
0 24  0.4208500533
1 24  0.4254134586
2 24  0.500340823
3 24  0.238349579
4 24  0.2587143583
5 24  0.4654127615
6 24  0.6629738599
7 24  0.0897782446
8 24  0.265444016




% 0.3107318825 0.1877370337 0.1939791003 0.2847246142 0.3638622141 0.1694972246 0.1717718313 0.1746565064 0.1817316087





